"51","Puckett's - Derita, NC","2002-08-16","1","2016-12-09 06:44:45","2016-12-09 06:44:45"
"52","The Wine Vault - Charlotte, NC","2002-08-17","1","2016-12-09 06:44:45","2016-12-09 06:44:45"
"53","Hunter Gatherer - Columbia, SC","2002-08-23","1","2016-12-09 06:44:45","2016-12-09 06:44:45"
"54","Chico's - Columbia, NC","2002-08-24","1","2016-12-09 06:44:45","2016-12-09 06:44:45"
"55","Hunter Gatherer Brewery - Columbia, NC","2002-08-26","1","2016-12-09 06:44:45","2016-12-09 06:44:45"
"56","Midtown Sundries - Benefit - Rock Hill, SC","2002-08-29","1","2016-12-09 06:44:45","2016-12-09 06:44:45"
"57","Vincent's Ear - Asheville, NC","2002-08-30","1","2016-12-09 06:44:45","2016-12-09 06:44:45"
"58","Shanakee - Wilmington, NC","2002-08-31","1","2016-12-09 06:44:45","2016-12-09 06:44:45"
"59","Time Out - Rock Hill, SC","2002-09-05","1","2016-12-09 06:44:45","2016-12-09 06:44:45"
"60","The Wine Vault - Charlotte, NC","2002-09-13","1","2016-12-09 06:44:45","2016-12-09 06:44:45"
"61","Vincent's Ear - Asheville, NC","2002-09-14","1","2016-12-09 06:44:45","2016-12-09 06:44:45"
"62","Shanakee - Wilmington, NC","2002-09-19","1","2016-12-09 06:44:45","2016-12-09 06:44:45"
"63","Mojo's - Charlotte, NC","2002-09-20","1","2016-12-09 06:44:45","2016-12-09 06:44:45"
"64","Midtown Sundries - Rock Hill, SC","2002-09-24","1","2016-12-09 06:44:45","2016-12-09 06:44:45"
"65","The Cave - Chapel Hill, NC","2002-10-02","1","2016-12-09 06:44:45","2016-12-09 06:44:45"
"66","Chico's - Rocky Mount, NC","2002-10-04","1","2016-12-09 06:44:45","2016-12-09 06:44:45"
"67","Peasant's - Greenville, NC","2002-10-05","1","2016-12-09 06:44:45","2016-12-09 06:44:45"
"68","Shanakee - Wilmington, NC","2002-10-11","1","2016-12-09 06:44:45","2016-12-09 06:44:45"
"69","Andy's - Chestertown, MD","2002-10-19","1","2016-12-09 06:44:45","2016-12-09 06:44:45"
"70","Puckett's - Derita, NC","2002-10-29","1","2016-12-09 06:44:45","2016-12-09 06:44:45"
"71","Puckett's - Derita, NC","2002-11-09","1","2016-12-09 06:44:45","2016-12-09 06:44:45"
"72","Barking Spider - Cleveland, OH","2002-11-15","1","2016-12-09 06:44:45","2016-12-09 06:44:45"
"73","Sports on Tap - Hibbing, OH","2002-11-16","1","2016-12-09 06:44:45","2016-12-09 06:44:45"
"74","George Washington - Concord, NC","2002-11-22","1","2016-12-09 06:44:45","2016-12-09 06:44:45"
"75","Chico's - Greenville, NC","2002-11-30","1","2016-12-09 06:44:45","2016-12-09 06:44:45"
"76","Mars - Wilmington, NC","2002-12-05","1","2016-12-09 06:44:45","2016-12-09 06:44:45"
"77","The Steeple - Charlotte, NC","2002-12-06","1","2016-12-09 06:44:45","2016-12-09 06:44:45"
"78","Mojo's - Charlotte, NC","2002-12-27","1","2016-12-09 06:44:45","2016-12-09 06:44:45"
"79","Double Door Inn - Charlotte, NC","2003-01-03","1","2016-12-09 06:44:49","2016-12-09 06:44:49"
"80","George Washington - Concord, NC","2003-01-04","1","2016-12-09 06:44:49","2016-12-09 06:44:49"
"81","Fat City - Charlotte, NC","2003-01-24","1","2016-12-09 06:44:49","2016-12-09 06:44:49"
"82","Double Door Inn - Charlotte, NC","2003-01-31","1","2016-12-09 06:44:49","2016-12-09 06:44:49"
"83","NACA National Conference - Nashville, TN","2003-03-00","1","2016-12-09 06:44:49","2016-12-09 06:44:49"
"84","The Steeple - Charlotte, NC","2003-03-13","1","2016-12-09 06:44:49","2016-12-09 06:44:49"
"85","??? - Greenville, NC","2003-03-14","1","2016-12-09 06:44:49","2016-12-09 06:44:49"
"86","Peasants - Greenville, NC","2003-03-15","1","2016-12-09 06:44:49","2016-12-09 06:44:49"
"87","The Garage - Winston Salem, NC","2003-03-16","1","2016-12-09 06:44:49","2016-12-09 06:44:49"
"88","Stella Blue - Asheville, NC","2003-03-28","1","2016-12-09 06:44:49","2016-12-09 06:44:49"
"89","Neighborhood Theater - Charlotte, NC","2003-03-29","1","2016-12-09 06:44:49","2016-12-09 06:44:49"
"90","Winthrop Student Dining Center - Rock Hill, SC","2003-04-11","1","2016-12-09 06:44:49","2016-12-09 06:44:49"
"91","Chico's - Greenville, NC","2003-04-12","1","2016-12-09 06:44:49","2016-12-09 06:44:49"
"92","Puckett's - Derita, NC","2003-04-18","1","2016-12-09 06:44:49","2016-12-09 06:44:49"
"93","UNC-A Lawn Party - Asheville, NC","2003-04-19","1","2016-12-09 06:44:49","2016-12-09 06:44:49"
"94","Lees-McRae College - Bunner Elk, NC","2003-04-23","1","2016-12-09 06:44:49","2016-12-09 06:44:49"
"95","Sewanee College - Sewanee, TN","2003-04-24","1","2016-12-09 06:44:49","2016-12-09 06:44:49"
"96","UNC-A - Asheville, NC","2003-04-26","1","2016-12-09 06:44:49","2016-12-09 06:44:49"
"97","George Washington - A Carolina Jubilee CD Release - Concord, NC","2003-05-08","1","2016-12-09 06:44:49","2016-12-09 06:44:49"
"98","Chico's - A Carolina Jubilee CD Release - Winterville, NC","2003-05-15","1","2016-12-09 06:44:49","2016-12-09 06:44:49"
"99","??? - A Carolina Jubilee CD Release - Raleigh, NC","2003-05-20","1","2016-12-09 06:44:49","2016-12-09 06:44:49"
"100","Feel Good Festival - Wilmington, NC","2003-06-08","1","2016-12-09 06:44:49","2016-12-09 06:44:49"
"101","CMA Fan Fair - Nashville, TN","2003-06-11","1","2016-12-09 06:44:49","2016-12-09 06:44:49"
"102","Neighborhood Theater - Charlotte, NC","2003-06-13","1","2016-12-09 06:44:49","2016-12-09 06:44:49"
"103","East Coast Grill and Spirits - Greenville, SC","2003-06-20","1","2016-12-09 06:44:49","2016-12-09 06:44:49"
"104","Bluegrass Inn - Nashville, TN","2003-06-21","1","2016-12-09 06:44:49","2016-12-09 06:44:49"
"105","Murphy's - Boone, NC","2003-06-26","1","2016-12-09 06:44:49","2016-12-09 06:44:49"
"106","Chico's - Greenville, NC","2003-06-28","1","2016-12-09 06:44:49","2016-12-09 06:44:49"
"107","Blandwood Mansion Fun Fourth - Greensboro, NC","2003-07-04","1","2016-12-09 06:44:49","2016-12-09 06:44:49"
"108","Summer on the Trade - Winston Salem, NC","2003-07-05","1","2016-12-09 06:44:49","2016-12-09 06:44:49"
"109","The Smokehouse - Apalachin, NY","2003-07-12","1","2016-12-09 06:44:49","2016-12-09 06:44:49"
"110","Stanhope House - Stanhope, NJ","2003-07-17","1","2016-12-09 06:44:49","2016-12-09 06:44:49"
"111","Sidewalk Cafe - New York, NY","2003-07-18","1","2016-12-09 06:44:49","2016-12-09 06:44:49"
"112","Andy's - Chestertown, MD","2003-07-19","1","2016-12-09 06:44:49","2016-12-09 06:44:49"
"113","House Party with Martin Stevenson - Durham, NC","2003-07-25","1","2016-12-09 06:44:49","2016-12-09 06:44:49"
"114","Murphy's - Boone, NC","2003-07-30","1","2016-12-09 06:44:49","2016-12-09 06:44:49"
"115","The Pour House - Raleigh, NC","2003-07-31","1","2016-12-09 06:44:49","2016-12-09 06:44:49"
"116","Peasants - Greenville, NC","2003-08-01","1","2016-12-09 06:44:49","2016-12-09 06:44:49"
"117","Village Tavern - Mount Pleasant, SC","2003-08-08","1","2016-12-09 06:44:49","2016-12-09 06:44:49"
"118","Woodsongs Radio Hour - Lexington, KY","2003-08-11","1","2016-12-09 06:44:49","2016-12-09 06:44:49"
"119","The Wine Vault - Charlotte, NC","2003-08-15","1","2016-12-09 06:44:49","2016-12-09 06:44:49"
"120","Sylvia Theater - York, SC","2003-08-16","1","2016-12-09 06:44:49","2016-12-09 06:44:49"
"121","UNC-A - Asheville, NC","2003-08-19","1","2016-12-09 06:44:49","2016-12-09 06:44:49"
"122","Lander University - Greenwood, SC","2003-08-21","1","2016-12-09 06:44:49","2016-12-09 06:44:49"
"123","Virginia Tech - Blacksburg, VA","2003-08-23","1","2016-12-09 06:44:49","2016-12-09 06:44:49"
"124","Casa Cantina - Athens, OH","2003-08-29","1","2016-12-09 06:44:49","2016-12-09 06:44:49"
"125","Chico's - Greenville, NC","2003-08-30","1","2016-12-09 06:44:49","2016-12-09 06:44:49"
"126","Long Branch Saloon - Rock Hill, SC","2003-09-04","1","2016-12-09 06:44:49","2016-12-09 06:44:49"
"127","Sylvia Theater - Opened for Doc Watson - York, SC","2003-09-05","1","2016-12-09 06:44:49","2016-12-09 06:44:49"
"128","Local 506 - Chapel Hill, NC","2003-09-10","1","2016-12-09 06:44:49","2016-12-09 06:44:49"
"129","Neighborhood Theater - Spread Your Wings - Charlotte, NC","2003-09-13","1","2016-12-09 06:44:49","2016-12-09 06:44:49"
"130","Cabarrus County Fair - Concord, NC","2003-09-13","1","2016-12-09 06:44:49","2016-12-09 06:44:49"
"131","Westville Pub - Asheville, NC","2003-09-20","1","2016-12-09 06:44:49","2016-12-09 06:44:49"
"132","Side Walk Cafe - Opened for Spin Doctors - New York, NY","2003-09-22","1","2016-12-09 06:44:49","2016-12-09 06:44:49"
"133","Sidewalk Cafe - New York, NY","2003-09-23","1","2016-12-09 06:44:49","2016-12-09 06:44:49"
"134","??? - New York, NY","2003-09-24","1","2016-12-09 06:44:49","2016-12-09 06:44:49"
"135","??? - New York, NY","2003-09-25","1","2016-12-09 06:44:49","2016-12-09 06:44:49"
"136","Peasants - Greenville, NC","2003-09-27","1","2016-12-09 06:44:49","2016-12-09 06:44:49"
"137","IBMA Fan Fest - Louisville, KY","2003-10-03","1","2016-12-09 06:44:49","2016-12-09 06:44:49"
"138","Stella Blue - Asheville, NC","2003-11-15","1","2016-12-09 06:44:49","2016-12-09 06:44:49"
"139","Neighborhood Theater - Charlotte, NC","2003-11-22","1","2016-12-09 06:44:49","2016-12-09 06:44:49"
"140","George Washington - Concord, NC","2003-12-18","1","2016-12-09 06:44:49","2016-12-09 06:44:49"
"141","Still Water Tap Room - Augusta, GA","2004-01-09","1","2016-12-09 06:44:52","2016-12-09 06:44:52"
"142","Iota Club and Cafe - Arlington, VA","2004-01-13","1","2016-12-09 06:44:52","2016-12-09 06:44:52"
"143","Rams Head - Annapolis, MD","2004-01-14","1","2016-12-09 06:44:52","2016-12-09 06:44:52"
"144","??? - Richmond, VA","2004-01-15","1","2016-12-09 06:44:52","2016-12-09 06:44:52"
"145","Winthrop University - Dinkins Art Cafe - Rock Hill, SC","2004-01-24","1","2016-12-09 06:44:52","2016-12-09 06:44:52"
"146","Workplay - Birmingham, AL","2004-01-28","1","2016-12-09 06:44:52","2016-12-09 06:44:52"
"147","Smith's Olde Bar - Atlanta, GA","2004-01-29","1","2016-12-09 06:44:52","2016-12-09 06:44:52"
"148","Handle Bar - Greenville, SC","2004-01-30","1","2016-12-09 06:44:52","2016-12-09 06:44:52"
"149","Chico's - Winterville, NC","2004-01-31","1","2016-12-09 06:44:52","2016-12-09 06:44:52"
"150","Star Hill Music Hall - Charlottesville, VA","2004-02-04","1","2016-12-09 06:44:52","2016-12-09 06:44:52"
"151","Andy's - Chestertown, MD","2004-02-19","1","2016-12-09 06:44:52","2016-12-09 06:44:52"
"152","The Stony Pony - Asbury Park, NJ","2004-02-20","1","2016-12-09 06:44:52","2016-12-09 06:44:52"
"153","Arlene's Grocery - New York, NY","2004-02-21","1","2016-12-09 06:44:52","2016-12-09 06:44:52"
"154","Stella Blue - Asheville, NC","2004-03-05","1","2016-12-09 06:44:52","2016-12-09 06:44:52"
"155","Sylvia Theater - York, SC","2004-03-12","1","2016-12-09 06:44:52","2016-12-09 06:44:52"
"156","Soapbox Laundro Lounge - Wilmington, NC","2004-03-20","1","2016-12-09 06:44:52","2016-12-09 06:44:52"
"157","Chico's - Winterville, NC","2004-04-09","1","2016-12-09 06:44:52","2016-12-09 06:44:52"
